Date,Platform,Product_Category,Model_Name,Condition,Launch_Price_USD,Launch_Price_MAD,Current_Price_USD,Current_Price_MAD,Discount_Pct,Sale_Event,Stock_Status,Rating,Reviews_Count
2025-08-24,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,3989.7,255.69,2377.92,40.400000000000006,Unknown,Low Stock,4.4,2671
2026-04-30,Flipkart,iPhone,iPhone 15 128GB,New,799,7430.7,594.58,5529.59,25.6,Unknown,In Stock,4.8,2828
2025-02-20,Amazon,Mac,MacBook Pro 14-inch M2 Pro 512GB,New,1999,18590.7,1802.37,16762.04,9.8,Unknown,In Stock,4.7,1515
2023-09-26,Amazon,Watch,Apple Watch Ultra,Renewed/Refurbished,799,7430.7,556.0,5170.8,30.4,Unknown,In Stock,3.9,1597
2025-08-13,Flipkart,iPad,iPad Pro 11-inch (M1) 128GB,New,799,7430.7,477.03,4436.38,40.3,Unknown,Out of Stock,4.2,2983
2025-02-13,Flipkart,iPhone,iPhone 14 128GB,New,799,7430.7,597.26,5554.52,25.2,Unknown,In Stock,4.6,4197
2025-02-22,Amazon,Mac,MacBook Pro 14-inch M3 Pro 512GB,Renewed/Refurbished,1999,18590.7,1370.94,12749.74,31.4,Unknown,In Stock,3.9,740
2025-11-11,Flipkart,Watch,Apple Watch Series 9 (45mm),New,429,3989.7,257.66,2396.24,39.900000000000006,Unknown,In Stock,4.7,4283
2025-01-29,Amazon,iPad,iPad Air (5th Gen) 64GB,New,599,5570.7,399.77,3717.86,33.300000000000004,Unknown,In Stock,4.3,3503
2025-08-05,Amazon,iPhone,iPhone 14 128GB,New,799,7430.7,603.79,5615.25,24.4,Unknown,In Stock,4.3,3102
2022-07-15,Flipkart,iPhone,iPhone 12 64GB,New,799,7430.7,702.51,6533.34,12.1,Unknown,In Stock,4.4,3316
2026-06-17,Flipkart,iPhone,iPhone 17 128GB,New,849,7895.7,857.51,7974.84,-1.0,Unknown,In Stock,4.3,1198
2023-07-06,Amazon,iPad,iPad Pro 11-inch (M1) 128GB,New,799,7430.7,603.27,5610.41,24.5,Unknown,In Stock,4.7,1770
2025-11-07,Amazon,Mac,MacBook Pro 14-inch M4 Pro 512GB,New,1999,18590.7,1850.2,17206.86,7.399999999999999,Prime Day,In Stock,4.3,1315
2025-12-27,Flipkart,Watch,Apple Watch Series X (45mm),New,429,3989.7,327.21,3043.05,23.7,Unknown,In Stock,4.6,1778
2024-01-13,Flipkart,iPhone,iPhone 13 128GB,Renewed/Refurbished,799,7430.7,418.0,3887.4,47.7,Unknown,In Stock,4.2,1264
2025-04-13,Amazon,Watch,Apple Watch Series 9 (45mm),New,429,3989.7,324.99,3022.41,24.2,Unknown,Low Stock,4.3,2007
2026-07-25,Flipkart,iPhone,iPhone 16 Pro 256GB,New,1099,10220.7,1002.6,9324.18,8.799999999999999,Unknown,In Stock,4.7,2978
2025-01-22,Amazon,Mac,MacBook Pro 14-inch M4 Pro 512GB,New,1999,18590.7,1961.59,18242.79,1.9,Unknown,In Stock,4.6,347
2026-04-28,Flipkart,Watch,Apple Watch Series 8 (45mm),New,429,3989.7,254.19,2363.97,40.7,Unknown,Out of Stock,4.7,2670
2023-08-07,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,9290.7,576.24,5359.03,42.3,Unknown,In Stock,4.2,2403
2025-11-02,Amazon,Watch,Apple Watch Series X (45mm),New,429,3989.7,432.27,4020.11,-0.8,Unknown,In Stock,4.5,427
2025-01-05,Amazon,Watch,Apple Watch Series 9 (45mm),New,429,3989.7,330.89,3077.28,22.9,Unknown,In Stock,4.8,968
2024-12-12,Amazon,iPhone,iPhone 15 128GB,Renewed/Refurbished,799,7430.7,530.77,4936.16,33.6,Unknown,In Stock,4.4,907
2025-06-18,Flipkart,Watch,Apple Watch Ultra 2,Renewed/Refurbished,799,7430.7,554.9,5160.57,30.6,Unknown,In Stock,4.1,1042
2026-01-24,Amazon,iPhone,iPhone 17 128GB,New,849,7895.7,860.15,7999.4,-1.3,Unknown,Out of Stock,4.4,554
2026-02-15,Flipkart,Mac,MacBook Pro 14-inch M2 Pro 512GB,Renewed/Refurbished,1999,18590.7,1402.46,13042.88,29.8,Unknown,Out of Stock,4.0,5906
2025-11-09,Amazon,iPad,iPad (9th Gen) 64GB,New,329,3059.7,199.69,1857.12,39.3,Unknown,Out of Stock,4.4,2535
2024-06-05,Amazon,Mac,MacBook Air M3 256GB,Renewed/Refurbished,1099,10220.7,797.11,7413.12,27.500000000000004,Unknown,Out of Stock,4.3,170
2026-11-01,Amazon,iPhone,iPhone 16 128GB,New,799,7430.7,712.6,6627.18,10.8,Unknown,In Stock,4.2,1804
2026-02-11,Flipkart,iPhone,iPhone 15 128GB,New,799,7430.7,604.64,5623.15,24.3,Unknown,In Stock,4.9,2471
2024-09-03,Flipkart,iPad,iPad Pro 11-inch (M4) 256GB,New,999,9290.7,1009.26,9386.12,-1.0,Unknown,In Stock,4.7,309
2025-12-16,Amazon,iPad,iPad Pro 12.9-inch (M2) 256GB,New,1199,11150.7,885.56,8235.71,26.1,Unknown,In Stock,4.7,5856
2025-03-14,Flipkart,Mac,MacBook Pro 14-inch M3 Pro 512GB,New,1999,18590.7,1928.72,17937.1,3.5000000000000004,Unknown,In Stock,4.3,1165
2024-11-01,Flipkart,iPhone,iPhone 15 Pro Max 256GB,Renewed/Refurbished,1199,11150.7,835.06,7766.06,30.4,Unknown,In Stock,3.9,878
2023-04-18,Flipkart,iPhone,iPhone 14 Pro 128GB,New,999,9290.7,1003.95,9336.74,-0.5,Unknown,In Stock,4.8,584
2025-11-23,Amazon,iPhone,iPhone 15 Pro Max 256GB,New,1199,11150.7,899.19,8362.47,25.0,Black Friday,In Stock,4.2,2639
2026-11-01,Flipkart,iPad,iPad Pro 12.9-inch (M2) 256GB,New,1199,11150.7,887.35,8252.36,26.0,Unknown,Out of Stock,4.4,4036
2026-03-04,Flipkart,Mac,MacBook Air M1 256GB,Renewed/Refurbished,999,9290.7,500.38,4653.53,49.9,Unknown,Out of Stock,4.3,10567
2023-12-26,Flipkart,iPad,iPad (9th Gen) 64GB,Renewed/Refurbished,329,3059.7,165.96,1543.43,49.6,Unknown,In Stock,4.0,2932
2023-02-16,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,3989.7,210.34,1956.16,51.0,Unknown,In Stock,4.2,2775
2025-05-01,Flipkart,Watch,Apple Watch Series X (45mm),New,429,3989.7,427.81,3978.63,0.3,Unknown,In Stock,4.2,369
2026-06-03,Amazon,iPhone,iPhone 13 Pro Max 256GB,New,1199,11150.7,809.4,7527.42,32.5,Unknown,Out of Stock,4.3,3463
2024-08-12,Flipkart,iPhone,iPhone 16 128GB,New,799,7430.7,789.25,7340.03,1.2,Unknown,In Stock,4.3,219
2024-06-24,Amazon,Watch,Apple Watch Series 7 (45mm),New,429,3989.7,260.96,2426.93,39.2,Unknown,In Stock,4.5,4617
2026-03-21,Flipkart,Watch,Apple Watch Ultra 2,New,799,7430.7,602.55,5603.72,24.6,Unknown,In Stock,4.3,2198
2025-04-13,Amazon,iPhone,iPhone 16 128GB,New,799,7430.7,801.81,7456.83,-0.4,Unknown,In Stock,4.2,963
2021-12-12,Amazon,iPad,iPad Pro 11-inch (M1) 128GB,Renewed/Refurbished,799,7430.7,582.9,5420.97,27.0,Unknown,In Stock,4.1,420
2024-05-15,Amazon,Watch,Apple Watch Series 7 (45mm),New,429,3989.7,259.33,2411.77,39.5,Unknown,In Stock,4.4,2708
2023-09-17,Flipkart,iPad,iPad Pro 12.9-inch (M2) 256GB,New,1199,11150.7,1205.75,11213.48,-0.6,Unknown,In Stock,4.5,855
2026-04-04,Flipkart,iPhone,iPhone 13 Pro Max 256GB,New,1199,11150.7,796.32,7405.78,33.6,Unknown,Low Stock,4.5,5143
2026-01-15,Flipkart,Mac,MacBook Pro 14-inch M4 Pro 512GB,Renewed/Refurbished,1999,18590.7,1452.18,13505.27,27.4,Unknown,In Stock,4.2,1602
2023-08-29,Flipkart,iPad,iPad Pro 11-inch (M1) 128GB,New,799,7430.7,609.11,5664.72,23.8,Unknown,In Stock,4.3,3301
2026-03-16,Flipkart,Mac,MacBook Pro 14-inch M1 Pro 512GB,New,1999,18590.7,1627.05,15131.57,18.6,Unknown,Low Stock,4.7,7699
2025-05-15,Flipkart,Watch,Apple Watch Series 9 (45mm),New,429,3989.7,324.53,3018.13,24.4,Unknown,In Stock,4.7,1316
2021-03-22,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,3989.7,436.94,4063.54,-1.9,Unknown,In Stock,4.8,388
2026-01-17,Flipkart,iPhone,iPhone 15 Pro Max 256GB,New,1199,11150.7,1016.03,9449.08,15.3,Unknown,In Stock,4.3,2415
2023-12-13,Amazon,iPhone,iPhone 13 128GB,New,799,7430.7,591.6,5501.88,26.0,Unknown,In Stock,4.3,3535
2024-09-06,Flipkart,Watch,Apple Watch Series 8 (45mm),New,429,3989.7,331.54,3083.32,22.7,Unknown,In Stock,4.9,1277
2025-12-04,Flipkart,Mac,MacBook Pro 14-inch M4 Pro 512GB,Renewed/Refurbished,1999,18590.7,1414.17,13151.78,29.3,Unknown,In Stock,4.3,295
2024-04-02,Flipkart,Watch,Apple Watch Series 8 (45mm),Renewed/Refurbished,429,3989.7,241.93,2249.95,43.6,Unknown,In Stock,4.3,2531
2022-05-07,Amazon,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,5570.7,390.26,3629.42,34.8,Unknown,In Stock,3.8,2551
2024-12-30,Flipkart,Mac,MacBook Pro 14-inch M4 Pro 512GB,New,1999,18590.7,2033.83,18914.62,-1.7000000000000002,Unknown,In Stock,4.8,352
2026-09-06,Amazon,Mac,MacBook Air M1 256GB,Renewed/Refurbished,999,9290.7,493.4,4588.62,50.6,Unknown,Low Stock,4.0,9322
2026-05-24,Flipkart,iPhone,iPhone 14 128GB,Renewed/Refurbished,799,7430.7,380.81,3541.53,52.3,Unknown,Low Stock,4.0,6339
2025-03-26,Amazon,iPhone,iPhone 16 128GB,Renewed/Refurbished,799,7430.7,622.01,5784.69,22.2,Unknown,Low Stock,4.2,428
2026-02-07,Amazon,iPad,iPad Air (5th Gen) 64GB,Renewed/Refurbished,599,5570.7,272.87,2537.69,54.400000000000006,Unknown,Low Stock,4.4,4877
2026-02-22,Amazon,iPhone,iPhone 17 128GB,New,849,7895.7,861.94,8016.04,-1.5,Unknown,Out of Stock,4.4,669
2024-03-27,Flipkart,Watch,Apple Watch Series 7 (45mm),New,429,3989.7,262.32,2439.58,38.9,Unknown,In Stock,4.5,2499
2025-08-16,Flipkart,Mac,MacBook Air M3 256GB,Renewed/Refurbished,1099,10220.7,795.93,7402.15,27.6,Unknown,In Stock,3.9,2312
2024-05-07,Amazon,iPhone,iPhone 14 Pro 128GB,New,999,9290.7,895.21,8325.45,10.4,Unknown,In Stock,4.5,3308
2021-10-23,Flipkart,iPhone,iPhone 13 Pro Max 256GB,New,1199,11150.7,1175.1,10928.43,2.0,Unknown,In Stock,4.7,81
2024-02-09,Amazon,Mac,MacBook Air M1 256GB,Renewed/Refurbished,999,9290.7,515.19,4791.27,48.4,Unknown,In Stock,4.5,2145
2023-05-15,Flipkart,iPhone,iPhone 14 Pro 128GB,New,999,9290.7,992.66,9231.74,0.6,Unknown,In Stock,4.4,643
2025-11-09,Amazon,iPhone,iPhone 15 128GB,New,799,7430.7,688.47,6402.77,13.8,Unknown,In Stock,4.4,3061
2025-07-13,Flipkart,iPhone,iPhone 16 Pro 256GB,Renewed/Refurbished,1099,10220.7,839.44,7806.79,23.6,Unknown,In Stock,3.8,820
2022-02-01,Amazon,Mac,MacBook Pro 14-inch M1 Pro 512GB,Renewed/Refurbished,1999,18590.7,1658.17,15420.98,17.0,Unknown,In Stock,4.4,462
2025-04-02,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,5570.7,363.1,3376.83,39.4,Unknown,Out of Stock,4.3,8739
2026-04-15,Flipkart,iPhone,iPhone 16 128GB,New,799,7430.7,695.68,6469.82,12.9,Unknown,In Stock,4.7,2519
2025-04-12,Amazon,iPad,iPad Pro 11-inch (M4) 256GB,New,999,9290.7,912.57,8486.9,8.7,Unknown,In Stock,4.4,3008
2023-12-25,Amazon,Watch,Apple Watch Series 9 (45mm),New,429,3989.7,425.09,3953.34,0.8999999999999999,Unknown,In Stock,4.6,485
2023-04-05,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,9290.7,813.03,7561.18,18.6,Unknown,Low Stock,4.3,4120
2025-03-17,Amazon,iPhone,iPhone 16 128GB,New,799,7430.7,811.49,7546.86,-1.6,Unknown,In Stock,4.8,800
