Date,Platform,Product_Category,Model_Name,Condition,Launch_Price_USD,Launch_Price_MAD,Current_Price_USD,Current_Price_MAD,Discount_Pct,Sale_Event,Stock_Status,Rating,Reviews_Count
24/08/2025,amazon,Watch,Apple Watch Series 6 (44mm),new,429,3989.70,255.69,2377.92,40.400000000000006,,Low Stock,4.4,2671
2026-04-30,Flipkart,iPhone,iPhone 15 128GB, New,799,7430.70,594.58,5529.59,25.6,,In Stock,4.8,2828
2025-02-20, Amazon,Mac,MacBook Pro 14-inch M2 Pro 512GB,New,1999,18590.70,1802.37,16762.04,9.8,,In Stock,4.7,1515
Sep 26 2023,AMAZON ,Watch,Apple Watch Ultra,Renewed/Refurbished,799,7430.70,556.0,5170.80,30.4,,In Stock,3.9,1597
2025-08-13,FLIPKART,iPad,iPad Pro 11-inch (M1) 128GB,New,799,7430.70,477.03,4436.38,40.3,,Out of Stock,4.2,2983
2025-02-13,FLIPKART,iPhone,iPhone 14 128GB,New,799,7430.70,597.26,5554.52,25.2,,In Stock,4.6,4197
Feb 22 2025,amazon ,Mac,MacBook Pro 14-inch M3 Pro 512GB,Renewed/Refurbished,1999,18590.70,1370.94,12749.74,31.4,,In Stock,3.9,740
2024-07-31,amazon ,iPhone,iPhone 13 Pro Max 256GB,New,1199,11150.70,994.16,9245.69,17.1,,In Stock,4.5,5177
2025-11-11,flipkart,Watch,Apple Watch Series 9 (45mm),NEW ,429,3989.70,257.66,2396.24,39.900000000000006,,In Stock,4.7,4283
2025-01-29,amazon,iPad,iPad Air (5th Gen) 64GB,new,599,5570.70,399.77,3717.86,33.300000000000004,,In Stock,4.3,3503
2025-05-08, Amazon,iPhone,iPhone 14 128GB,new,799,7430.70,603.79,5615.25,24.4,,In Stock,4.3,3102
15/07/2022, Flipkart ,iPhone,iPhone 12 64GB,New,799,7430.70,702.51,6533.34,12.1,,In Stock,4.4,3316
2026-06-17,Flipkart,iPhone,iPhone 17 128GB,New,849,7895.70,857.51,7974.84,-1.0,,In Stock,4.3,1198
2023-06-07,AMAZON ,iPad,iPad Pro 11-inch (M1) 128GB,NEW ,799,7430.70,603.27,5610.41,24.5,,In Stock,4.7,1770
2025-07-11,amazon ,Mac,MacBook Pro 14-inch M4 Pro 512GB,New,1999,18590.70,1850.2,17206.86,7.399999999999999,Prime Day,In Stock,4.3,1315
2025-12-27, Flipkart ,Watch,Apple Watch Series X (45mm),New,429,3989.70,327.21,3043.05,23.7,,In Stock,4.6,1778
2024-01-13,flipkart,iPhone,iPhone 13 128GB,Renewed/Refurbished,799,7430.70,418.0,3887.40,47.7,,In Stock,4.2,1264
2025-04-13,amazon ,Watch,Apple Watch Series 9 (45mm),NEW ,429,3989.70,324.99,3022.41,24.2,,Low Stock,4.3,2007
Jul 25 2026,FLIPKART,iPhone,iPhone 16 Pro 256GB,New,1099,10220.70,1002.6,9324.18,8.799999999999999,,In Stock,4.7,2978
2025-01-22,amazon ,Mac,MacBook Pro 14-inch M4 Pro 512GB, New,1999,18590.70,1961.59,18242.79,1.9,,In Stock,4.6,347
2026-04-28,Flipkart,Watch,Apple Watch Series 8 (45mm),new,429,3989.70,254.19,2363.97,40.7,,Out of Stock,4.7,2670
07/08/2023, Flipkart ,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,9290.70,576.24,5359.03,42.3,,In Stock,4.2,2403
2025-02-11,Amazon,Watch,Apple Watch Series X (45mm),new,429,3989.70,432.27,4020.11,-0.8,,In Stock,4.5,427
05/01/2025,amazon,Watch,Apple Watch Series 9 (45mm),New,429,3989.70,330.89,3077.28,22.9,,In Stock,4.8,968
12/12/2024,amazon,iPhone,iPhone 15 128GB,Renewed/Refurbished,799,7430.70,530.77,4936.16,33.6,,In Stock,4.4,907
2025-06-27, Flipkart ,Mac,MacBook Pro 14-inch M4 Pro 512GB,New,1999,18590.70,--,--,-1.0,,In Stock,4.6,1297
18/06/2025,FLIPKART,Watch,Apple Watch Ultra 2,Renewed/Refurbished,799,7430.70,554.9,5160.57,30.6,,In Stock,4.1,1042
2023-10-02,AMAZON ,iPhone,iPhone 13 Pro Max 256GB,NEW ,1199,11150.70,N/A,N/A,39.2,Great Indian Festival,In Stock,4.7,1725
2026-01-24,Amazon,iPhone,iPhone 17 128GB, New,849,7895.70,860.15,7999.40,-1.3,,Out of Stock,4.4,554
