Date,Platform,Product_Category,Model_Name,Condition,Launch_Price_USD,Launch_Price_MAD,Current_Price_USD,Current_Price_MAD,Discount_Pct,Sale_Event,Stock_Status,Rating,Reviews_Count,Product_Year,Price_Diff
2025-08-24,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,3989.7,255.69,2377.92,40.400000000000006,Unknown,Low Stock,4.4,2671,1970-01-01 00:00:00.000002025,173.31
2026-04-30,Flipkart,iPhone,iPhone 15 128GB,New,799,7430.7,594.58,5529.59,25.6,Unknown,In Stock,4.8,2828,1970-01-01 00:00:00.000002026,204.41999999999996
2025-02-20,Amazon,Mac,MacBook Pro 14-inch M2 Pro 512GB,New,1999,18590.7,1802.37,16762.04,9.8,Unknown,In Stock,4.7,1515,1970-01-01 00:00:00.000002025,196.6300000000001
2023-09-26,Amazon,Watch,Apple Watch Ultra,Renewed/Refurbished,799,7430.7,556.0,5170.8,30.4,Unknown,In Stock,3.9,1597,1970-01-01 00:00:00.000002023,243.0
2025-08-13,Flipkart,iPad,iPad Pro 11-inch (M1) 128GB,New,799,7430.7,477.03,4436.38,40.3,Unknown,Out of Stock,4.2,2983,1970-01-01 00:00:00.000002025,321.97
2025-02-13,Flipkart,iPhone,iPhone 14 128GB,New,799,7430.7,597.26,5554.52,25.2,Unknown,In Stock,4.6,4197,1970-01-01 00:00:00.000002025,201.74
2025-02-22,Amazon,Mac,MacBook Pro 14-inch M3 Pro 512GB,Renewed/Refurbished,1999,18590.7,1370.94,12749.74,31.4,Unknown,In Stock,3.9,740,1970-01-01 00:00:00.000002025,628.06
2025-11-11,Flipkart,Watch,Apple Watch Series 9 (45mm),New,429,3989.7,257.66,2396.24,39.900000000000006,Unknown,In Stock,4.7,4283,1970-01-01 00:00:00.000002025,171.33999999999997
2025-01-29,Amazon,iPad,iPad Air (5th Gen) 64GB,New,599,5570.7,399.77,3717.86,33.300000000000004,Unknown,In Stock,4.3,3503,1970-01-01 00:00:00.000002025,199.23000000000002
2025-08-05,Amazon,iPhone,iPhone 14 128GB,New,799,7430.7,603.79,5615.25,24.4,Unknown,In Stock,4.3,3102,1970-01-01 00:00:00.000002025,195.21000000000004
2022-07-15,Flipkart,iPhone,iPhone 12 64GB,New,799,7430.7,702.51,6533.34,12.1,Unknown,In Stock,4.4,3316,1970-01-01 00:00:00.000002022,96.49000000000001
2026-06-17,Flipkart,iPhone,iPhone 17 128GB,New,849,7895.7,857.51,7974.84,-1.0,Unknown,In Stock,4.3,1198,1970-01-01 00:00:00.000002026,-8.509999999999991
2023-07-06,Amazon,iPad,iPad Pro 11-inch (M1) 128GB,New,799,7430.7,603.27,5610.41,24.5,Unknown,In Stock,4.7,1770,1970-01-01 00:00:00.000002023,195.73000000000002
2025-11-07,Amazon,Mac,MacBook Pro 14-inch M4 Pro 512GB,New,1999,18590.7,1850.2,17206.86,7.399999999999999,Prime Day,In Stock,4.3,1315,1970-01-01 00:00:00.000002025,148.79999999999995
